Time,Voltage
02-06 15:50,14.3
02-06 16:00,15.6
02-06 16:10,15.7
02-06 16:20,16.9
02-06 16:30,15.7
02-06 16:40,15.7
02-06 16:50,26.9
02-06 17:00,14.5
02-06 17:03,14.5
02-06 17:13,14.4
02-06 17:23,14.3
02-06 17:33,11.8
02-06 17:43,3.5
02-06 17:53,0.9
02-07 12:00,42.2
02-07 12:10,42.1
02-07 12:20,42.0
02-07 12:30,41.8
02-07 12:40,41.8
02-07 12:50,41.7
02-07 13:00,41.6
02-07 13:10,41.2
02-07 13:20,40.2
02-07 13:30,41.2
02-07 13:40,41.8
02-07 13:50,40.3
02-07 14:00,40.4
02-07 14:10,40.1
02-07 14:20,40.1
02-07 14:30,39.6
02-07 14:40,39.6
02-07 14:50,39.1
02-07 15:00,40.0
02-07 15:10,39.2
02-07 15:20,38.0
02-07 15:30,36.8
02-07 15:40,29.7
02-07 15:50,15.2
02-07 16:00,15.0
02-07 16:10,14.8
02-07 16:20,15.0
02-07 16:30,15.0
02-07 16:40,14.9
02-07 16:50,22.9
02-07 17:00,13.6
02-07 17:10,13.6
02-07 17:20,13.5
02-07 17:30,13.3
02-07 17:40,4.6
02-07 17:50,1.1
02-07 18:00,0.3
02-07 18:10,0.1
02-07 18:20,0.1
02-07 18:30,-0.0
02-07 18:40,0.0
02-07 18:50,0.0
02-07 19:00,-0.0
02-07 19:10,0.0
02-07 19:20,-0.0
02-07 19:30,0.0
02-07 19:40,0.0
02-07 19:50,-0.0
02-07 20:00,-0.0
02-07 20:10,0.0
02-07 20:20,0.0
02-07 20:30,0.0
02-07 20:40,0.0
02-07 20:50,0.0
02-07 21:00,0.0
02-07 21:10,0.0
02-07 21:20,0.0
02-07 21:30,0.0
02-07 21:40,0.1
02-07 21:50,0.1
02-07 22:00,0.1
02-07 22:10,0.1
02-07 22:20,0.1
02-07 22:30,0.1
02-07 22:40,0.1
02-07 22:50,0.1
02-07 23:00,0.1
02-07 23:10,0.1
02-07 23:20,0.1
02-07 23:30,0.1
02-07 23:40,0.1
02-07 23:50,0.1
02-08 00:00,0.1
02-08 00:10,0.1
02-08 00:20,0.1
02-08 00:30,0.1
02-08 00:40,0.1
02-08 00:50,0.1
02-08 01:00,0.1
02-08 01:10,0.1
02-08 01:20,0.1
02-08 01:30,0.1
02-08 01:40,0.1
02-08 01:50,0.1
02-08 02:00,0.1
02-08 02:11,0.1
02-08 02:21,0.1
02-08 02:31,0.1
02-08 02:41,0.1
02-08 02:51,0.1
02-08 03:01,0.1
02-08 03:11,0.1
02-08 03:21,0.1
02-08 03:31,0.1
02-08 03:41,0.1
02-08 03:51,0.1
02-08 04:01,0.1
02-08 04:11,0.1
02-08 04:21,0.1
02-08 04:31,0.1
02-08 04:41,0.1
02-08 04:51,0.1
02-08 05:01,0.1
02-08 05:11,0.0
02-08 05:21,0.0
02-08 05:31,0.1
02-08 05:41,0.0
02-08 05:51,0.0
02-08 06:01,0.0
02-08 06:11,-0.0
02-08 06:21,-0.0
02-08 06:31,0.0
02-08 06:41,0.1
02-08 06:51,0.6
02-08 07:01,2.9
02-08 07:11,11.9
02-08 07:21,13.4
02-08 07:31,13.5
02-08 07:41,13.6
02-08 07:51,13.7
02-08 08:01,15.5
02-08 08:11,14.8
02-08 08:21,14.9
02-08 08:31,15.0
02-08 08:41,15.0
02-08 08:51,15.2
02-08 09:01,24.4
02-08 09:11,15.0
02-08 09:21,15.0
02-08 09:31,15.2
02-08 09:41,15.5
02-08 09:51,15.8
02-08 10:01,42.7
02-08 10:11,42.8
02-08 10:21,42.9
02-08 10:31,42.9
02-08 10:41,43.0
02-08 10:51,43.0
02-08 11:01,43.0
02-08 11:11,42.9
02-08 11:21,42.7
02-08 11:31,42.6
02-08 11:41,42.3
02-08 11:51,42.6
02-08 12:00,42.3
02-08 12:10,42.3
02-08 12:20,42.3
02-08 12:30,42.3
02-08 12:40,42.3
02-08 12:50,42.3
02-08 13:00,42.3
02-08 13:10,42.3
02-08 13:20,42.2
02-08 13:30,42.0
02-08 13:40,42.1
02-08 13:50,42.1
02-08 14:00,42.1
02-08 14:10,42.0
02-08 14:20,42.0
02-08 14:30,42.1
02-08 14:40,41.8
02-08 14:50,41.8
02-08 15:00,41.5
02-08 15:10,15.2
02-08 15:20,14.9
02-08 15:30,15.0
02-08 15:40,14.9
02-08 15:50,14.9
02-08 16:00,14.9
02-08 16:10,14.9
02-08 16:20,15.0
02-08 16:30,14.8
02-08 16:40,14.8
02-08 16:50,15.6
02-08 17:00,13.5
02-08 17:10,13.5
02-08 17:20,13.3
02-08 17:30,11.2
02-08 17:40,3.0
02-08 17:50,0.6
02-08 18:00,0.1
02-08 18:10,0.0
02-08 18:20,0.0
02-08 18:30,0.0
02-08 18:40,0.0
02-08 18:50,0.0
02-08 19:00,-0.0
02-08 19:10,-0.0
02-08 19:20,-0.0
02-08 19:30,0.0
02-08 19:40,0.0
02-08 19:50,0.1
02-08 20:00,0.1
02-08 20:10,0.1
02-08 20:20,0.0
02-08 20:30,0.0
02-08 20:40,0.0
02-08 20:50,0.0
02-08 21:00,0.1
02-08 21:10,0.0
02-08 21:20,0.0
02-08 21:30,0.0
02-08 21:40,0.1
02-08 21:50,0.0
02-08 22:00,0.0
02-08 22:10,0.0
02-08 22:20,0.1
02-08 22:30,0.0
02-08 22:40,0.0
02-08 22:50,0.0
02-08 23:00,-0.0
02-08 23:10,0.1
02-08 23:20,0.1
02-08 23:30,0.1
02-08 23:40,0.0
02-08 23:50,0.1
02-09 00:00,0.1
02-09 00:10,0.0
02-09 00:20,0.0
02-09 00:30,0.0
02-09 00:40,0.0
02-09 00:50,0.0
02-09 01:00,0.0
02-09 01:10,0.0
02-09 01:20,0.0
02-09 01:30,0.1
02-09 01:40,0.1
02-09 01:50,0.0
02-09 02:00,0.0
02-09 02:10,0.1
02-09 02:21,0.0
02-09 02:31,0.0
02-09 02:41,0.0
02-09 02:51,0.0
02-09 03:01,0.0
02-09 03:11,0.0
02-09 03:21,0.0
02-09 03:31,-0.0
02-09 03:41,0.1
02-09 03:51,0.0
02-09 04:01,0.0
02-09 04:11,0.0
02-09 04:21,0.0
02-09 04:31,0.0
02-09 04:41,0.0
02-09 04:51,0.0
02-09 05:01,0.1
02-09 05:11,0.1
02-09 05:21,0.0
02-09 05:31,0.1
02-09 05:41,0.0
02-09 05:51,0.1
02-09 06:01,0.0
02-09 06:11,0.1
02-09 06:21,0.0
02-09 06:31,0.0
02-09 06:41,0.1
02-09 06:51,0.2
02-09 07:01,0.8
02-09 07:11,4.1
02-09 07:21,13.1
02-09 07:31,13.4
02-09 07:41,13.5
02-09 07:51,13.6
02-09 08:01,13.5
02-09 08:11,14.8
02-09 08:21,21.0
02-09 08:31,15.0
02-09 08:41,15.1
02-09 08:51,15.0
02-09 09:01,15.0
02-09 09:11,15.1
02-09 09:21,15.1
02-09 09:31,15.2
02-09 09:41,15.0
02-09 09:51,15.2
02-09 10:01,15.1
02-09 10:11,14.9
02-09 10:21,42.3
02-09 10:31,42.3
02-09 10:41,42.2
02-09 10:51,42.0
02-09 11:01,40.0
02-09 11:11,41.9
02-09 11:21,41.8
02-09 11:31,36.9
02-09 11:41,15.5
02-09 11:51,42.2
02-09 12:00,42.1
02-09 12:10,42.0
02-09 12:20,41.9
02-09 12:30,38.3
02-09 12:40,39.6
02-09 12:50,39.8
02-09 13:00,38.4
02-09 13:10,38.6
02-09 13:20,43.0
02-09 13:30,42.9
02-09 13:40,42.1
02-09 13:50,41.5
02-09 14:00,41.5
02-09 14:10,41.6
02-09 14:20,41.5
02-09 14:30,41.1
02-09 14:40,40.9
02-09 14:50,41.1
02-09 15:00,40.8
02-09 15:10,15.1
02-09 15:20,14.8
02-09 15:30,14.9
02-09 15:40,14.9
02-09 15:50,14.9
02-09 16:00,14.9
02-09 16:10,14.9
02-09 16:20,14.9
02-09 16:30,14.8
02-09 16:40,14.8
02-09 16:50,14.8
02-09 17:00,13.6
02-09 17:10,13.6
02-09 17:20,13.5
02-09 17:30,13.3
02-09 17:40,6.0
02-09 17:50,1.5
02-09 18:00,0.3
02-09 18:10,0.1
02-09 18:20,-0.0
02-09 18:30,-0.0
02-09 18:40,0.0
02-09 18:50,-0.0
02-09 19:00,-0.0
02-09 19:10,-0.0
02-09 19:20,-0.0
02-09 19:30,-0.0
02-09 19:40,-0.0
02-09 19:50,-0.0
02-09 20:00,-0.0
02-09 20:10,-0.0
02-09 20:20,-0.0
02-09 20:30,0.0
02-09 20:40,-0.0
02-09 20:50,-0.0
02-09 21:00,-0.0
02-09 21:10,-0.0
02-09 21:20,0.0
02-09 21:30,0.0
02-09 21:40,-0.0
02-09 21:50,0.0
02-09 22:00,0.0
02-09 22:10,0.0
02-09 22:20,0.0
02-09 22:30,0.0
02-09 22:40,0.0
02-09 22:50,-0.0
02-09 23:00,0.0
02-09 23:10,0.0
02-09 23:20,0.0
02-09 23:30,0.0
02-09 23:40,0.0
02-09 23:50,0.0
02-10 00:00,0.0
02-10 00:10,0.0
02-10 00:20,0.0
02-10 00:30,0.0
02-10 00:40,0.1
02-10 00:50,0.1
02-10 01:00,0.0
02-10 01:10,0.0
02-10 01:20,0.0
02-10 01:30,0.0
02-10 01:40,0.0
02-10 01:50,0.0
02-10 02:00,0.0
02-10 02:10,0.0
02-10 02:20,0.0
02-10 02:31,0.0
02-10 02:41,0.1
02-10 02:51,0.0
02-10 03:01,0.0
02-10 03:11,0.0
02-10 03:21,0.0
02-10 03:31,0.0
02-10 03:41,0.0
02-10 03:51,-0.0
02-10 04:01,0.0
02-10 04:11,0.0
02-10 04:21,0.0
02-10 04:31,0.0
02-10 04:41,0.0
02-10 04:51,0.0
02-10 05:01,0.0
02-10 05:11,0.1
02-10 05:21,0.0
02-10 05:31,0.0
02-10 05:41,0.0
02-10 05:51,0.0
02-10 06:01,0.0
02-10 06:11,-0.0
02-10 06:21,0.0
02-10 06:31,0.1
02-10 06:41,0.2
02-10 06:51,1.0
02-10 07:01,4.0
02-10 07:11,12.9
02-10 07:21,13.4
02-10 07:31,13.5
02-10 07:41,13.6
02-10 07:51,14.9
02-10 08:01,14.9
02-10 08:11,14.9
02-10 08:21,15.1
02-10 08:31,15.2
02-10 08:41,15.1
02-10 08:51,15.2
02-10 09:01,15.1
02-10 09:11,15.2
02-10 09:21,15.3
02-10 09:31,15.2
02-10 09:41,15.2
02-10 09:51,15.2
02-10 10:01,15.1
02-10 10:11,15.2
02-10 10:21,15.3
02-10 10:31,41.9
02-10 10:41,42.3
02-10 10:51,42.0
02-10 11:01,42.8
02-10 11:11,41.4
02-10 11:21,40.4
02-10 11:31,40.8
02-10 11:41,41.1
02-10 11:51,42.0
02-10 12:00,41.3
02-10 12:10,41.6
02-10 12:20,41.4
02-10 12:30,41.5
02-11 12:00,14.9
02-11 12:10,15.1
02-11 12:20,15.1
02-11 12:30,15.2
02-11 12:40,15.1
02-11 12:50,15.0
02-11 13:00,15.1
02-11 13:10,15.3
02-11 13:20,15.3
02-11 13:30,15.3
02-11 13:40,15.4
02-11 13:50,15.4
02-11 14:00,15.3
02-11 14:10,15.3
02-11 14:20,15.1
02-11 14:30,15.0
02-11 14:40,14.9
02-11 14:50,15.2
02-11 15:00,15.1
02-11 15:10,15.1
02-11 15:20,14.9
02-11 15:30,14.9
02-11 15:40,14.8
02-11 15:50,13.8
02-11 16:00,13.8
02-11 16:10,13.7
02-11 16:20,13.7
02-11 16:30,13.6
02-11 16:40,13.6
02-11 16:50,13.6
02-11 17:00,13.5
02-11 17:10,13.5
02-11 17:20,13.5
02-11 17:30,13.4
02-11 17:40,6.0
02-11 17:50,1.2
02-11 18:00,0.3
02-11 18:10,0.1
02-11 18:20,0.1
02-11 18:30,0.1
02-11 18:40,0.0
02-11 18:50,0.0
02-11 19:00,0.1
02-11 19:10,0.0
02-11 19:20,0.0
02-11 19:30,0.0
02-11 19:40,0.0
02-11 19:50,0.0
02-11 20:00,0.0
02-11 20:10,0.0
02-11 20:20,0.0
02-11 20:30,0.0
02-11 20:40,0.0
02-11 20:50,0.0
02-11 21:00,0.0
02-11 21:10,0.0
02-11 21:20,0.0
02-11 21:30,0.0
02-11 21:40,0.0
02-11 21:50,0.0
02-11 22:00,0.0
02-11 22:10,0.0
02-11 22:20,0.0
02-11 22:30,0.0
02-11 22:40,0.0
02-11 22:50,0.0
02-11 23:00,0.0
02-11 23:10,0.0
02-11 23:20,0.0
02-11 23:30,0.0
02-11 23:40,-0.0
02-11 23:50,0.0
02-12 00:00,-0.0
02-12 00:10,0.0
02-12 00:20,-0.0
02-12 00:30,-0.0
02-12 00:40,-0.0
02-12 00:50,-0.0
02-12 01:00,-0.0
02-12 01:10,-0.0
02-12 01:20,0.0
02-12 01:30,-0.0
02-12 01:40,0.0
02-12 01:50,0.0
02-12 02:00,-0.0
02-12 02:10,0.0
02-12 02:20,0.0
02-12 02:30,-0.0
02-12 02:40,0.0
02-12 02:50,-0.0
02-12 03:00,-0.0
02-12 03:10,-0.0
