Time, Temp C, Humidity %
02-08 14:50,20,23
02-08 15:00,20,24
02-08 15:10,19,23
02-08 15:20,19,23
02-08 15:30,16,22
02-08 15:40,17,21
02-08 15:50,18,23
02-08 16:00,16,21
02-08 16:10,14,21
02-08 16:20,15,21
02-08 16:30,15,23
02-08 16:40,14,23
02-08 16:50,13,21
02-08 17:00,12,21
02-08 17:10,13,22
02-08 17:20,14,21
02-08 17:30,13,21
02-08 17:40,12,21
02-08 17:50,12,21
02-08 18:00,11,21
02-08 18:10,12,21
02-08 18:20,9,20
02-08 18:30,9,21
02-08 18:40,9,20
02-08 18:50,10,21
02-08 19:00,10,22
02-08 19:10,7,21
02-08 19:20,9,22
02-08 19:30,8,22
02-08 19:40,7,21
02-08 19:50,7,22
02-08 20:00,6,21
02-08 20:10,8,21
02-08 20:20,8,23
02-08 20:30,7,23
02-08 20:40,8,24
02-08 20:50,5,23
02-08 21:00,7,24
02-08 21:10,7,24
02-08 21:20,7,23
02-08 21:30,7,24
02-08 21:40,6,24
02-08 21:50,6,25
02-08 22:00,6,25
02-08 22:10,6,25
02-08 22:20,6,25
02-08 22:30,6,25
02-08 22:40,6,25
02-08 22:50,6,25
02-08 23:00,6,24
02-08 23:10,6,24
02-08 23:20,6,23
02-08 23:30,6,23
02-08 23:40,5,23
02-08 23:50,4,23
02-09 00:00,5,24
02-09 00:10,5,25
02-09 00:20,4,26
02-09 00:30,3,25
02-09 00:40,5,25
02-09 00:50,3,25
02-09 01:00,4,25
02-09 01:10,2,25
02-09 01:20,2,25
02-09 01:30,4,25
02-09 01:40,2,25
02-09 01:50,4,24
02-09 02:00,4,23
02-09 02:10,1,24
02-09 02:21,3,23
02-09 02:31,3,22
02-09 02:41,3,24
02-09 02:51,2,27
02-09 03:01,2,25
02-09 03:11,2,25
02-09 03:21,2,25
02-09 03:31,3,25
02-09 03:41,3,25
02-09 03:51,3,25
02-09 04:01,3,26
02-09 04:11,3,25
02-09 04:21,3,25
02-09 04:31,3,24
02-09 04:41,3,25
02-09 04:51,4,25
02-09 05:01,4,25
02-09 05:11,3,25
02-09 05:21,4,26
02-09 05:31,4,26
02-09 05:41,4,23
02-09 05:51,3,24
02-09 06:01,3,26
02-09 06:11,4,24
02-09 06:21,6,23
02-09 06:31,4,24
02-09 06:41,4,23
02-09 06:51,5,24
02-09 07:01,5,24
02-09 07:11,5,24
02-09 07:21,5,23
02-09 07:31,6,22
02-09 07:41,4,24
02-09 07:51,6,21
02-09 08:01,4,23
02-09 08:11,4,21
02-09 08:21,4,22
02-09 08:31,6,23
02-09 08:41,4,22
02-09 08:51,4,23
02-09 09:01,7,24
02-09 09:11,5,25
02-09 09:21,7,26
02-09 09:31,7,26
02-09 09:41,7,26
02-09 09:51,7,26
02-09 10:01,7,25
02-09 10:11,6,28
02-09 10:21,10,25
02-09 10:31,10,27
02-09 10:41,13,28
02-09 10:51,14,28
02-09 11:01,15,26
02-09 11:11,16,27
02-09 11:21,18,26
02-09 11:31,18,25
02-09 11:41,18,25
02-09 11:51,19,25
02-09 12:00,17,24
02-09 12:10,19,25
02-09 12:20,20,24
02-09 12:30,20,23
02-09 12:40,21,22
02-09 12:50,21,23
02-09 13:00,20,23
02-09 13:10,20,24
