Time,Air Quality
02-06 12:10,80.0
02-06 12:20,86.0
02-06 12:30,85.0
02-06 12:40,92.0
02-06 12:50,89.0
02-06 13:00,90.0
02-06 13:10,98.0
02-06 13:20,104.0
02-06 13:30,112.0
02-06 13:40,108.0
02-06 13:50,118.0
02-06 14:00,127.0
02-06 14:10,130.0
02-06 14:20,124.0
02-06 14:30,120.0
02-06 14:40,120.0
02-06 14:50,116.0
02-06 15:00,111.0
02-06 15:10,25.0
02-06 15:20,-42.0
02-06 15:30,-106.0
02-06 15:40,-76.0
02-06 15:50,-55.0
02-06 16:00,-40.0
02-06 16:10,-32.0
02-06 16:20,-27.0
02-06 16:30,-21.0
02-06 16:40,-12.0
02-06 16:50,1.0
02-06 17:00,9.0
02-06 17:03,21.0
02-06 17:13,21.0
02-06 17:23,21.0
02-06 17:33,28.0
02-06 17:43,30.0
02-06 17:53,36.0
02-07 12:00,108.0
02-07 12:10,109.0
02-07 12:20,104.0
02-07 12:30,109.0
02-07 12:40,105.0
02-07 12:50,109.0
02-07 13:00,111.0
02-07 13:10,114.0
02-07 13:20,115.0
02-07 13:30,112.0
02-07 13:40,124.0
02-07 13:50,132.0
02-07 14:00,139.0
02-07 14:10,126.0
02-07 14:20,125.0
02-07 14:30,129.0
02-07 14:40,133.0
02-07 14:50,87.0
02-07 15:00,43.0
02-07 15:10,3.0
02-07 15:20,16.0
02-07 15:30,26.0
02-07 15:40,34.0
02-07 15:50,35.0
02-07 16:00,44.0
02-07 16:10,50.0
02-07 16:20,51.0
02-07 16:30,55.0
02-07 16:40,61.0
02-07 16:50,66.0
02-07 17:00,62.0
02-07 17:10,61.0
02-07 17:20,62.0
02-07 17:30,58.0
02-07 17:40,58.0
02-07 17:50,52.0
02-07 18:00,56.0
02-07 18:10,55.0
02-07 18:20,57.0
02-07 18:30,52.0
02-07 18:40,48.0
02-07 18:50,45.0
02-07 19:00,39.0
02-07 19:10,38.0
02-07 19:20,32.0
02-07 19:30,36.0
02-07 19:40,43.0
02-07 19:50,46.0
02-07 20:00,40.0
02-07 20:10,37.0
02-07 20:20,34.0
02-07 20:30,31.0
02-07 20:40,25.0
02-07 20:50,20.0
02-07 21:00,17.0
02-07 21:10,14.0
02-07 21:20,12.0
02-07 21:30,10.0
02-07 21:40,6.0
02-07 21:50,7.0
02-07 22:00,2.0
02-07 22:10,-1.0
02-07 22:20,-8.0
02-07 22:30,-8.0
02-07 22:40,-13.0
02-07 22:50,-13.0
02-07 23:00,-14.0
02-07 23:10,-17.0
02-07 23:20,-19.0
02-07 23:30,-21.0
02-07 23:40,-19.0
02-07 23:50,-25.0
02-08 00:00,-29.0
02-08 00:10,-38.0
02-08 00:20,-36.0
02-08 00:30,-40.0
02-08 00:40,-37.0
02-08 00:50,-42.0
02-08 01:00,-41.0
02-08 01:10,-44.0
02-08 01:20,-45.0
02-08 01:30,-50.0
02-08 01:40,-51.0
02-08 01:50,-49.0
02-08 02:00,-48.0
02-08 02:11,-53.0
02-08 02:21,-54.0
02-08 02:31,-58.0
02-08 02:41,-57.0
02-08 02:51,-60.0
02-08 03:01,-62.0
