Time, Pressure MBar
02-08 00:20,1034
02-08 00:30,1034
02-08 00:40,1034
02-08 00:50,1034
02-08 01:00,1034
02-08 01:10,1034
02-08 01:20,1034
02-08 01:30,1033
02-08 01:40,1033
02-08 01:50,1033
02-08 02:00,1033
02-08 02:11,1033
02-08 02:21,1033
02-08 02:31,1033
02-08 02:41,1033
02-08 02:51,1033
02-08 03:01,1033
02-08 03:11,1033
02-08 03:21,1033
02-08 03:31,1033
02-08 03:41,1033
02-08 03:51,1033
02-08 04:01,1033
02-08 04:11,1033
02-08 04:21,1033
02-08 04:31,1032
02-08 04:41,1032
02-08 04:51,1032
02-08 05:01,1032
02-08 05:11,1032
02-08 05:21,1032
02-08 05:31,1032
02-08 05:41,1032
02-08 05:51,1032
02-08 06:01,1032
02-08 06:11,1032
02-08 06:21,1032
02-08 06:31,1032
02-08 06:41,1032
02-08 06:51,1032
02-08 07:01,1032
02-08 07:11,1032
02-08 07:21,1032
02-08 07:31,1032
02-08 07:41,1032
02-08 07:51,1032
02-08 08:01,1032
02-08 08:11,1032
02-08 08:21,1032
02-08 08:31,1032
02-08 08:41,1032
02-08 08:51,1032
02-08 09:01,1032
02-08 09:11,1032
02-08 09:21,1032
02-08 09:31,1032
02-08 09:41,1032
02-08 09:51,1032
02-08 10:01,1032
02-08 10:11,1032
02-08 10:21,1032
02-08 10:31,1031
02-08 10:41,1031
02-08 10:51,1031
02-08 11:01,1031
02-08 11:11,1031
02-08 11:21,1031
02-08 11:31,1031
02-08 11:41,1031
02-08 11:51,1031
02-08 12:00,1031
02-08 12:10,1030
02-08 12:20,1030
02-08 12:30,1030
02-08 12:40,1029
02-08 12:50,1029
02-08 13:00,1029
02-08 13:10,1029
02-08 13:20,1029
02-08 13:30,1029
02-08 13:40,1029
02-08 13:50,1029
02-08 14:00,1028
02-08 14:10,1028
02-08 14:20,1028
02-08 14:30,1028
02-08 14:40,1028
02-08 14:50,1028
02-08 15:00,1028
02-08 15:10,1028
02-08 15:20,1028
02-08 15:30,1028
02-08 15:40,1028
02-08 15:50,1028
02-08 16:00,1028
02-08 16:10,1028
02-08 16:20,1028
02-08 16:30,1028
02-08 16:40,1028
02-08 16:50,1028
02-08 17:00,1028
02-08 17:10,1028
02-08 17:20,1028
02-08 17:30,1028
02-08 17:40,1028
02-08 17:50,1027
02-08 18:00,1027
02-08 18:10,1027
02-08 18:20,1027
02-08 18:30,1027
02-08 18:40,1027
02-08 18:50,1027
02-08 19:00,1027
02-08 19:10,1027
02-08 19:20,1027
02-08 19:30,1027
02-08 19:40,1027
02-08 19:50,1027
02-08 20:00,1027
02-08 20:10,1027
02-08 20:20,1027
02-08 20:30,1027
02-08 20:40,1027
02-08 20:50,1027
02-08 21:00,1027
02-08 21:10,1027
02-08 21:20,1027
02-08 21:30,1027
02-08 21:40,1027
02-08 21:50,1027
02-08 22:00,1027
02-08 22:10,1027
02-08 22:20,1026
02-08 22:30,1026
02-08 22:40,1026
02-08 22:50,1026
02-08 23:00,1026
02-08 23:10,1026
02-08 23:20,1026
02-08 23:30,1026
02-08 23:40,1026
02-08 23:50,1026
02-09 00:00,1026
02-09 00:10,1026
02-09 00:20,1026
02-09 00:30,1026
02-09 00:40,1026
02-09 00:50,1025
02-09 01:00,1026
02-09 01:10,1025
02-09 01:20,1025
02-09 01:30,1025
02-09 01:40,1025
02-09 01:50,1026
02-09 02:00,1026
02-09 02:10,1026
02-09 02:21,1026
02-09 02:31,1026
02-09 02:41,1026
02-09 02:51,1026
02-09 03:01,1026
02-09 03:11,1026
02-09 03:21,1026
02-09 03:31,1026
02-09 03:41,1026
02-09 03:51,1025
02-09 04:01,1025
02-09 04:11,1026
02-09 04:21,1026
02-09 04:31,1026
02-09 04:41,1026
02-09 04:51,1026
02-09 05:01,1026
02-09 05:11,1026
02-09 05:21,1026
02-09 05:31,1026
02-09 05:41,1026
02-09 05:51,1027
02-09 06:01,1027
02-09 06:11,1027
02-09 06:21,1027
02-09 06:31,1027
02-09 06:41,1027
02-09 06:51,1027
02-09 07:01,1027
02-09 07:11,1027
02-09 07:21,1027
02-09 07:31,1027
02-09 07:41,1028
02-09 07:51,1028
02-09 08:01,1028
02-09 08:11,1028
02-09 08:21,1028
02-09 08:31,1028
02-09 08:41,1028
02-09 08:51,1028
02-09 09:01,1029
02-09 09:11,1029
02-09 09:21,1029
02-09 09:31,1029
02-09 09:41,1029
02-09 09:51,1029
02-09 10:01,1029
02-09 10:11,1029
02-09 10:21,1029
02-09 10:31,1029
02-09 10:41,1029
02-09 10:51,1030
02-09 11:01,1030
02-09 11:11,1030
02-09 11:21,1030
02-09 11:31,1030
02-09 11:41,1030
02-09 11:51,1030
02-09 12:00,1030
02-09 12:10,1030
02-09 12:20,1030
02-09 12:30,1030
02-09 12:40,1030
02-09 12:50,1030
02-09 13:00,1030
02-09 13:10,1030
02-09 13:20,1030
02-09 13:30,1030
02-09 13:40,1030
02-09 13:50,1030
02-09 14:00,1030
02-09 14:10,1030
02-09 14:20,1030
02-09 14:30,1030
02-09 14:40,1030
02-09 14:50,1030
02-09 15:00,1030
02-09 15:10,1030
02-09 15:20,1030
02-09 15:30,1030
02-09 15:40,1030
02-09 15:50,1030
02-09 16:00,1030
02-09 16:10,1030
02-09 16:20,1030
02-09 16:30,1030
02-09 16:40,1031
02-09 16:50,1031
02-09 17:00,1031
02-09 17:10,1031
02-09 17:20,1031
02-09 17:30,1031
02-09 17:40,1031
02-09 17:50,1032
02-09 18:00,1032
02-09 18:10,1032
02-09 18:20,1032
02-09 18:30,1032
02-09 18:40,1032
02-09 18:50,1032
02-09 19:00,1032
02-09 19:10,1032
02-09 19:20,1032
02-09 19:30,1032
02-09 19:40,1033
02-09 19:50,1033
02-09 20:00,1033
02-09 20:10,1033
02-09 20:20,1033
02-09 20:30,1033
02-09 20:40,1033
02-09 20:50,1033
02-09 21:00,1033
02-09 21:10,1033
02-09 21:20,1033
02-09 21:30,1033
02-09 21:40,1033
02-09 21:50,1033
02-09 22:00,1033
02-09 22:10,1033
02-09 22:20,1033
02-09 22:30,1033
02-09 22:40,1033
02-09 22:50,1033
02-09 23:00,1033
02-09 23:10,1033
02-09 23:20,1033
02-09 23:30,1033
02-09 23:40,1033
02-09 23:50,1033
02-10 00:00,1033
02-10 00:10,1034
02-10 00:20,1034
02-10 00:30,1034
02-10 00:40,1034
02-10 00:50,1034
02-10 01:00,1034
02-10 01:10,1034
02-10 01:20,1034
02-10 01:30,1033
02-10 01:40,1033
02-10 01:50,1034
02-10 02:00,1034
02-10 02:10,1034
02-10 02:20,1034
02-10 02:31,1034
02-10 02:41,1033
02-10 02:51,1033
02-10 03:01,1033
02-10 03:11,1033
